vendor_name,po_count,phone,email,gstin,pan,is_msme,address,city,state
"Visalam",1,,,,,false,"",Chennai,Tamil Nadu
"Alif Enterprises",0,,,,,false,"",Chennai,Tamil Nadu
"Balmer",0,,,,,false,"",Chennai,Tamil Nadu
"Electric Mart",0,,,,,false,"",Chennai,Tamil Nadu
"EPC Global",0,,,,,false,"",Chennai,Tamil Nadu
"Ever Volt",0,,,,,false,"",Chennai,Tamil Nadu
"Jayam Steel",0,,,,,false,"",Chennai,Tamil Nadu
"Med tech",0,,,,,false,"",Chennai,Tamil Nadu
"Mr Sriram",0,,,,,false,"",Chennai,Tamil Nadu
"Shree Mahalakshmi",0,,,,,false,"",Chennai,Tamil Nadu
"Tech pumps",0,,,,,false,"",Chennai,Tamil Nadu
"V capital",0,,,,,false,"",Chennai,Tamil Nadu
